[1506170711.14]	 data from PC: 'ARDUINO:RS'
[1506170712.17]	 data from Arduino: '224\r\n'
[1506170712.29]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170712.3]	 data from Arduino: '224\r\n'
[1506170712.81]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87ff0ffe1f:0000000000000000000000000000000000000000'
[1506170712.82]	 data from PC: 'ARDUINO:INS:R'
[1506170712.82]	 data from PC: 'ANDROID:SP:271:1'
[1506170712.82]	 data from PC: 'ARDUINO:RS'
[1506170713.69]	 data from Arduino: '224\r\n'
[1506170713.7]	 data from Arduino: '224\r\n'
[1506170713.75]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170713.75]	 data from Arduino: '224\r\n'
[1506170714.27]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87ff0ffe1f:0000000000000000000000000000000000000000'
[1506170714.28]	 data from PC: 'ARDUINO:INS:F'
[1506170714.28]	 data from PC: 'ANDROID:SP:272:1'
[1506170714.28]	 data from PC: 'ARDUINO:RS'
[1506170715.12]	 data from Arduino: '224\r\n'
[1506170715.17]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170715.18]	 data from Arduino: '224\r\n'
[1506170715.7]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87ff0ffe1f:0000000000000000000000000000000000000000'
[1506170715.7]	 data from PC: 'ARDUINO:INS:F'
[1506170715.7]	 data from PC: 'ANDROID:SP:273:1'
[1506170715.71]	 data from PC: 'ARDUINO:RS'
[1506170716.52]	 data from Arduino: '224\r\n'
[1506170716.6]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170716.6]	 data from Arduino: '224\r\n'
[1506170719.62]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f87ff0ffe1f:0000000000000000000000000000000000000000'
[1506170719.62]	 data from PC: 'ARDUINO:INS:F'
[1506170719.62]	 data from PC: 'ANDROID:SP:274:1'
[1506170719.63]	 data from PC: 'ARDUINO:RS'
[1506170720.44]	 data from Arduino: '224\r\n'
[1506170720.49]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170720.49]	 data from Arduino: '224\r\n'
[1506170721.01]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07fc7ff8fff1f:00000000000000000000000000000000000000000'
[1506170721.01]	 data from PC: 'ARDUINO:INS:F'
[1506170721.01]	 data from PC: 'ANDROID:SP:275:1'
[1506170721.01]	 data from PC: 'ARDUINO:RS'
[1506170721.88]	 data from Arduino: '224\r\n'
[1506170721.93]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170721.93]	 data from Arduino: '224\r\n'
[1506170722.45]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07fe7ffcfff9f:000000000000000000000000000000000000000000'
[1506170722.45]	 data from PC: 'ARDUINO:INS:F'
[1506170722.46]	 data from PC: 'ANDROID:SP:276:1'
[1506170722.46]	 data from PC: 'ARDUINO:RS'
[1506170723.74]	 data from Arduino: '224\r\n'
[1506170723.84]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170723.84]	 data from Arduino: '224\r\n'
[1506170724.36]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07f80ff01fe03fc07ff7ffefffdf:000000000000000000000000000000000000000000'
[1506170724.36]	 data from PC: 'ARDUINO:INS:F'
[1506170724.36]	 data from PC: 'ANDROID:SP:277:1'
[1506170724.36]	 data from PC: 'ARDUINO:RS'
[1506170725.17]	 data from Arduino: '224\r\n'
[1506170725.23]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170725.23]	 data from Arduino: '224\r\n'
[1506170725.75]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fe07fc0ff81ff03fe07fffffffffff:00000000000000000000000000000000000000000000'
[1506170725.75]	 data from PC: 'ARDUINO:INS:F'
[1506170725.76]	 data from PC: 'ANDROID:SP:278:1'
[1506170725.76]	 data from PC: 'ARDUINO:RS'
[1506170726.59]	 data from Arduino: '224\r\n'
[1506170726.64]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170726.64]	 data from Arduino: '224\r\n'
[1506170729.65]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ff07fe0ffc1ff83ff07fffffffffff:0000000000000000000000000000000000000000000000'
[1506170729.65]	 data from PC: 'ARDUINO:INS:F'
[1506170729.65]	 data from PC: 'ANDROID:SP:279:1'
[1506170729.65]	 data from PC: 'ARDUINO:RS'
[1506170730.6]	 data from Arduino: '224\r\n'
[1506170730.65]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170730.65]	 data from Arduino: '224\r\n'
[1506170731.17]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ff87ff0ffe1ffc3ff87fffffffffff:00000000000000000000000000000000000000000000000'
[1506170731.18]	 data from PC: 'ARDUINO:INS:F'
[1506170731.18]	 data from PC: 'ANDROID:SP:280:1'
[1506170731.18]	 data from PC: 'ARDUINO:RS'
[1506170732.13]	 data from Arduino: '224\r\n'
[1506170732.19]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170732.2]	 data from Arduino: '224\r\n'
[1506170732.71]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffc7ff8fff1ffe3ffc7fffffffffff:000000000000000000000000000000000000000000000000'
[1506170732.71]	 data from PC: 'ARDUINO:INS:F'
[1506170732.72]	 data from PC: 'ANDROID:SP:281:1'
[1506170732.72]	 data from PC: 'ARDUINO:RS'
[1506170733.53]	 data from Arduino: '224\r\n'
[1506170733.58]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170733.58]	 data from Arduino: '224\r\n'
